"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"28-Dec-2023","28-Dec-2023","CE","2,600.00","4.95","13.95","0.05","2.15","0.70","2,605.55","59,84,250","15,59,77,17,875.00","3,86,67,875.00","3,10,500","-15,84,500"
"27-Dec-2023","28-Dec-2023","CE","2,600.00","9.45","12.60","4.45","6.25","6.25","6.25","1,40,05,250","36,53,06,43,950.00","11,69,93,950.00","18,95,000","-6,89,750"
"26-Dec-2023","28-Dec-2023","CE","2,600.00","9.95","16.95","8.20","9.15","9.25","9.15","1,25,19,000","32,70,45,94,837.50","15,51,94,837.50","25,84,750","65,750"
"22-Dec-2023","28-Dec-2023","CE","2,600.00","13.45","20.15","8.00","9.70","8.40","9.70","1,26,75,500","33,12,76,23,125.00","17,13,23,125.00","25,19,000","-2,42,750"
"21-Dec-2023","28-Dec-2023","CE","2,600.00","8.15","19.25","7.60","15.15","14.35","15.15","1,13,21,750","29,60,09,24,125.00","16,43,74,125.00","27,61,750","-3,96,750"
"20-Dec-2023","28-Dec-2023","CE","2,600.00","25.10","37.00","9.85","10.70","9.90","10.70","2,46,68,500","64,77,95,57,587.50","64,14,57,587.50","31,58,500","4,33,000"
"19-Dec-2023","28-Dec-2023","CE","2,600.00","17.50","30.35","11.50","19.85","20.00","19.85","2,07,15,750","54,32,20,83,425.00","46,11,33,425.00","27,25,500","5,65,500"
"18-Dec-2023","28-Dec-2023","CE","2,600.00","8.95","16.45","7.25","11.70","11.50","11.70","87,88,000","22,96,12,54,462.50","11,24,54,462.50","21,60,000","-11,750"
"15-Dec-2023","28-Dec-2023","CE","2,600.00","6.00","9.55","5.60","8.15","8.45","8.15","50,96,250","13,28,85,68,537.50","3,83,18,537.50","21,71,750","2,25,750"
"14-Dec-2023","28-Dec-2023","CE","2,600.00","5.85","6.80","4.55","5.60","5.60","5.60","29,23,500","7,61,81,19,012.50","1,70,19,012.50","19,46,000","76,500"
"13-Dec-2023","28-Dec-2023","CE","2,600.00","4.50","5.10","3.65","4.55","4.70","4.55","16,56,250","4,31,33,81,612.50","71,31,612.50","18,69,500","-31,250"
"12-Dec-2023","28-Dec-2023","CE","2,600.00","8.20","10.20","4.05","4.40","4.30","4.40","31,24,500","8,14,16,45,087.50","1,79,45,087.50","19,00,750","-6,63,750"
"11-Dec-2023","28-Dec-2023","CE","2,600.00","8.50","9.25","7.10","7.40","7.45","7.40","16,28,250","4,24,66,63,012.50","1,32,13,012.50","25,64,500","32,500"
"08-Dec-2023","28-Dec-2023","CE","2,600.00","9.25","13.80","6.60","8.25","8.40","8.25","54,80,250","14,30,45,95,187.50","5,59,45,187.50","25,32,000","6,87,000"
"07-Dec-2023","28-Dec-2023","CE","2,600.00","9.95","10.25","7.10","9.10","8.95","9.10","21,76,000","5,67,62,40,950.00","1,86,40,950.00","18,45,000","-14,750"
"06-Dec-2023","28-Dec-2023","CE","2,600.00","6.45","15.10","5.80","9.55","9.90","9.55","72,59,500","18,95,30,15,862.50","7,83,15,862.50","18,59,750","2,57,250"
"05-Dec-2023","28-Dec-2023","CE","2,600.00","4.10","7.00","4.10","5.95","6.00","5.95","24,72,750","6,44,30,36,612.50","1,38,86,612.50","16,02,500","3,88,250"
"04-Dec-2023","28-Dec-2023","CE","2,600.00","5.50","6.90","3.90","4.25","4.30","4.25","14,33,250","3,73,26,93,362.50","62,43,362.50","12,14,250","86,750"
"01-Dec-2023","28-Dec-2023","CE","2,600.00","3.85","4.55","3.80","4.05","3.95","4.05","9,78,500","2,54,81,69,687.50","40,69,687.50","11,27,500","2,29,500"
"30-Nov-2023","28-Dec-2023","CE","2,600.00","4.60","5.75","3.75","3.95","4.10","3.95","9,10,250","2,37,04,40,025.00","37,90,025.00","8,98,000","1,40,000"
"29-Nov-2023","28-Dec-2023","CE","2,600.00","4.45","6.30","4.15","4.55","4.70","4.55","7,70,250","2,00,62,16,725.00","35,66,725.00","7,58,000","1,69,250"
"28-Nov-2023","28-Dec-2023","CE","2,600.00","4.50","4.50","3.35","3.95","4.00","3.95","4,55,500","1,18,59,97,850.00","16,97,850.00","5,88,750","1,24,250"
"24-Nov-2023","28-Dec-2023","CE","2,600.00","5.55","6.00","4.20","4.40","4.50","4.40","2,04,250","53,20,78,525.00","10,28,525.00","4,64,500","59,500"
"23-Nov-2023","28-Dec-2023","CE","2,600.00","5.25","5.85","4.90","5.40","5.50","5.40","1,85,750","48,39,36,837.50","9,86,837.50","4,05,000","43,500"
"22-Nov-2023","28-Dec-2023","CE","2,600.00","5.05","5.70","4.55","5.60","5.60","5.60","1,51,500","39,46,85,937.50","7,85,937.50","3,61,500","17,750"
"21-Nov-2023","28-Dec-2023","CE","2,600.00","4.65","5.85","4.60","4.90","4.70","4.90","1,78,250","46,43,85,325.00","9,35,325.00","3,43,750","38,750"
"20-Nov-2023","28-Dec-2023","CE","2,600.00","5.95","6.90","4.50","4.65","4.65","4.65","1,04,750","27,28,84,050.00","5,34,050.00","3,05,000","45,500"
"17-Nov-2023","28-Dec-2023","CE","2,600.00","6.15","8.00","5.60","5.85","5.60","5.85","1,00,500","26,19,50,275.00","6,50,275.00","2,59,500","35,750"
"16-Nov-2023","28-Dec-2023","CE","2,600.00","5.15","7.40","4.60","6.20","6.30","6.20","1,73,500","45,21,94,237.50","10,94,237.50","2,23,750","76,000"
"15-Nov-2023","28-Dec-2023","CE","2,600.00","3.60","5.40","3.60","5.10","5.15","5.10","71,250","18,55,88,100.00","3,38,100.00","1,47,750","24,000"
"13-Nov-2023","28-Dec-2023","CE","2,600.00","3.85","4.65","3.65","4.25","4.15","4.25","23,750","6,18,47,325.00","97,325.00","1,23,750","8,000"
"12-Nov-2023","28-Dec-2023","CE","2,600.00","4.35","5.00","3.75","4.40","5.00","4.40","3,750","97,66,375.00","16,375.00","1,15,750","2,000"
"10-Nov-2023","28-Dec-2023","CE","2,600.00","4.45","5.35","4.00","4.35","4.40","4.35","15,250","3,97,13,650.00","63,650.00","1,13,750","6,500"
"09-Nov-2023","28-Dec-2023","CE","2,600.00","5.30","5.75","4.75","5.00","5.00","3.45","10,750","2,80,06,312.50","56,312.50","1,07,250","6,250"
"08-Nov-2023","28-Dec-2023","CE","2,600.00","5.95","6.05","5.25","5.95","5.80","5.95","36,250","9,44,58,825.00","2,08,825.00","1,01,000","9,250"
"07-Nov-2023","28-Dec-2023","CE","2,600.00","6.00","6.25","5.50","5.95","5.95","5.95","9,000","2,34,52,750.00","52,750.00","91,750","4,750"
"06-Nov-2023","28-Dec-2023","CE","2,600.00","6.00","7.00","6.00","6.90","6.85","6.90","30,750","8,01,58,875.00","2,08,875.00","87,000","25,750"
"03-Nov-2023","28-Dec-2023","CE","2,600.00","6.25","6.25","5.05","5.95","6.00","5.95","10,750","2,80,14,075.00","64,075.00","61,250","7,250"
"02-Nov-2023","28-Dec-2023","CE","2,600.00","6.50","6.50","5.70","6.10","6.00","6.10","12,000","3,12,73,500.00","73,500.00","54,000","8,250"
"01-Nov-2023","28-Dec-2023","CE","2,600.00","5.65","6.85","5.65","5.70","5.65","5.70","9,000","2,34,54,925.00","54,925.00","45,750","1,000"
"31-Oct-2023","28-Dec-2023","CE","2,600.00","7.60","7.60","5.50","6.05","6.00","6.05","13,500","3,51,85,812.50","85,812.50","44,750","1,000"
"30-Oct-2023","28-Dec-2023","CE","2,600.00","7.05","8.65","7.00","7.60","7.60","7.60","21,250","5,54,15,700.00","1,65,700.00","43,750","5,250"
"27-Oct-2023","28-Dec-2023","CE","2,600.00","8.40","8.95","6.90","7.00","7.00","7.00","24,750","6,45,38,237.50","1,88,237.50","38,500","12,000"
"26-Oct-2023","28-Dec-2023","CE","2,600.00","8.00","8.60","7.15","7.15","7.15","2.00","6,250","1,62,98,425.00","48,425.00","26,500","2,500"
"25-Oct-2023","28-Dec-2023","CE","2,600.00","10.75","10.75","9.05","9.60","9.60","3.35","9,750","2,54,48,412.50","98,412.50","24,000","5,250"
"23-Oct-2023","28-Dec-2023","CE","2,600.00","13.20","13.20","9.95","10.05","9.95","10.05","10,250","2,67,62,525.00","1,12,525.00","18,750","7,750"
"20-Oct-2023","28-Dec-2023","CE","2,600.00","13.00","15.80","12.00","13.05","13.20","13.05","8,000","2,09,06,612.50","1,06,612.50","11,000","5,000"
"19-Oct-2023","28-Dec-2023","CE","2,600.00","18.00","18.75","10.00","13.70","14.00","13.70","3,000","78,43,725.00","43,725.00","6,000","1,000"
"18-Oct-2023","28-Dec-2023","CE","2,600.00","19.95","22.00","17.00","18.35","18.45","18.35","2,500","65,47,125.00","47,125.00","5,000","1,250"
"17-Oct-2023","28-Dec-2023","CE","2,600.00","20.00","20.00","17.00","19.95","20.00","19.95","1,750","45,83,950.00","33,950.00","3,750","250"
"16-Oct-2023","28-Dec-2023","CE","2,600.00","21.00","21.00","18.15","19.10","20.00","19.10","750","19,64,787.50","14,787.50","3,500","250"
