"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"28-Dec-2023","28-Dec-2023","PE","2,400.00","0.10","0.10","0.05","0.05","0.05","2,605.55","1,03,250","24,78,05,187.50","5,187.50","7,19,500","-99,500"
"27-Dec-2023","28-Dec-2023","PE","2,400.00","0.20","0.25","0.05","0.10","0.05","0.10","3,53,250","84,78,47,987.50","47,987.50","8,19,000","-1,22,750"
"26-Dec-2023","28-Dec-2023","PE","2,400.00","0.45","0.55","0.25","0.40","0.30","0.40","6,15,000","1,47,62,26,550.00","2,26,550.00","9,41,750","-2,17,250"
"22-Dec-2023","28-Dec-2023","PE","2,400.00","0.80","1.10","0.30","0.45","0.30","0.45","6,83,750","1,64,14,81,937.50","4,81,937.50","11,59,000","-58,500"
"21-Dec-2023","28-Dec-2023","PE","2,400.00","2.45","2.50","0.65","0.75","0.70","0.75","12,40,000","2,97,78,31,625.00","18,31,625.00","12,17,500","-1,53,750"
"20-Dec-2023","28-Dec-2023","PE","2,400.00","1.25","2.25","0.75","2.05","2.15","2.05","16,60,750","3,98,79,32,687.50","21,32,687.50","13,71,250","-2,21,500"
"19-Dec-2023","28-Dec-2023","PE","2,400.00","2.70","2.70","1.10","1.30","1.25","1.30","14,29,500","3,43,30,01,362.50","22,01,362.50","15,92,750","-2,10,750"
"18-Dec-2023","28-Dec-2023","PE","2,400.00","4.15","4.35","2.50","2.90","2.85","2.90","21,57,250","5,18,39,96,075.00","65,96,075.00","18,03,500","-6,500"
"15-Dec-2023","28-Dec-2023","PE","2,400.00","6.05","6.25","3.60","4.05","3.85","4.05","26,30,250","6,32,54,20,612.50","1,28,20,612.50","18,10,000","-2,51,750"
"14-Dec-2023","28-Dec-2023","PE","2,400.00","10.35","11.45","6.05","6.70","6.40","6.70","33,15,750","7,98,31,96,425.00","2,53,96,425.00","20,61,750","-2,00,750"
"13-Dec-2023","28-Dec-2023","PE","2,400.00","19.00","22.95","14.05","15.05","14.95","15.05","34,03,500","8,23,26,71,375.00","6,42,71,375.00","22,62,500","1,93,250"
"12-Dec-2023","28-Dec-2023","PE","2,400.00","11.65","19.35","10.30","18.20","19.00","18.20","24,46,250","5,90,56,22,575.00","3,46,22,575.00","20,69,250","50,750"
"11-Dec-2023","28-Dec-2023","PE","2,400.00","12.45","13.15","10.35","11.35","11.25","11.35","13,69,000","3,30,16,94,775.00","1,60,94,775.00","20,18,500","42,750"
"08-Dec-2023","28-Dec-2023","PE","2,400.00","13.50","16.05","10.55","12.60","13.00","12.60","27,92,000","6,73,74,82,237.50","3,66,82,237.50","19,75,750","1,17,250"
"07-Dec-2023","28-Dec-2023","PE","2,400.00","13.75","18.30","13.15","14.00","13.65","14.00","19,24,500","4,64,83,59,962.50","2,95,59,962.50","18,58,500","-22,250"
"06-Dec-2023","28-Dec-2023","PE","2,400.00","18.00","18.00","12.15","13.25","13.15","13.25","38,85,000","9,37,77,38,325.00","5,37,38,325.00","18,80,750","88,750"
"05-Dec-2023","28-Dec-2023","PE","2,400.00","19.00","23.80","12.55","19.35","19.70","19.35","30,44,750","7,36,86,46,637.50","6,12,46,637.50","17,92,000","78,250"
"04-Dec-2023","28-Dec-2023","PE","2,400.00","23.05","30.80","14.95","23.15","23.25","23.15","41,48,500","10,05,47,14,600.00","9,83,14,600.00","17,13,750","-1,68,500"
"01-Dec-2023","28-Dec-2023","PE","2,400.00","46.95","49.50","37.60","39.15","39.05","39.15","26,31,000","6,42,07,38,787.50","10,63,38,787.50","18,82,250","98,250"
"30-Nov-2023","28-Dec-2023","PE","2,400.00","39.40","49.30","35.00","46.70","47.00","46.70","29,01,250","7,09,07,19,712.50","12,77,19,712.50","17,84,000","7,00,000"
"29-Nov-2023","28-Dec-2023","PE","2,400.00","34.00","35.90","29.25","33.90","34.25","33.90","11,83,000","2,87,79,78,412.50","3,87,78,412.50","10,84,000","1,36,250"
"28-Nov-2023","28-Dec-2023","PE","2,400.00","37.50","45.65","35.45","37.25","36.00","37.25","9,47,000","2,31,28,44,750.00","4,00,44,750.00","9,47,750","2,61,750"
"24-Nov-2023","28-Dec-2023","PE","2,400.00","40.00","40.00","35.20","37.85","38.30","37.85","8,03,250","1,95,78,51,925.00","3,00,51,925.00","6,86,000","2,47,500"
"23-Nov-2023","28-Dec-2023","PE","2,400.00","41.80","41.85","35.35","36.90","36.95","36.90","5,02,750","1,22,55,83,125.00","1,89,83,125.00","4,38,500","53,000"
"22-Nov-2023","28-Dec-2023","PE","2,400.00","45.00","49.95","38.75","41.80","41.75","41.80","2,46,500","60,22,18,187.50","1,06,18,187.50","3,85,500","16,250"
"21-Nov-2023","28-Dec-2023","PE","2,400.00","55.95","57.00","41.15","45.00","45.30","45.00","2,92,000","71,41,69,775.00","1,33,69,775.00","3,69,250","94,750"
"20-Nov-2023","28-Dec-2023","PE","2,400.00","60.45","71.50","59.90","64.10","63.00","64.10","2,05,000","50,56,24,375.00","1,36,24,375.00","2,74,500","1,23,750"
"17-Nov-2023","28-Dec-2023","PE","2,400.00","58.00","59.60","53.30","58.40","58.85","58.40","42,250","10,37,81,925.00","23,81,925.00","1,50,750","17,500"
"16-Nov-2023","28-Dec-2023","PE","2,400.00","63.80","63.85","51.55","59.35","59.10","59.35","91,500","22,48,04,012.50","52,04,012.50","1,33,250","10,000"
"15-Nov-2023","28-Dec-2023","PE","2,400.00","77.45","78.00","60.00","61.40","60.55","61.40","55,000","13,56,09,250.00","36,09,250.00","1,23,250","19,250"
"13-Nov-2023","28-Dec-2023","PE","2,400.00","86.05","91.00","86.05","89.35","89.00","89.35","6,000","1,49,34,137.50","5,34,137.50","1,04,000","3,250"
"12-Nov-2023","28-Dec-2023","PE","2,400.00","85.00","86.00","85.00","85.35","86.00","85.35","1,500","37,27,812.50","1,27,812.50","1,00,750","-250"
"10-Nov-2023","28-Dec-2023","PE","2,400.00","91.80","100.00","90.00","90.00","90.00","90.00","5,500","1,37,25,725.00","5,25,725.00","1,01,000","-"
"09-Nov-2023","28-Dec-2023","PE","2,400.00","82.00","94.20","82.00","90.40","90.25","90.40","7,500","1,86,60,062.50","6,60,062.50","1,01,000","3,000"
