"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"28-Dec-2023","28-Dec-2023","CE","2,500.00","93.75","108.55","86.75","101.90","106.45","2,605.55","6,02,750","1,56,67,53,025.00","5,98,78,025.00","4,42,750","-3,64,000"
"27-Dec-2023","28-Dec-2023","CE","2,500.00","89.00","98.45","76.50","86.85","87.30","86.85","5,07,500","1,31,24,90,875.00","4,37,40,875.00","8,06,750","-2,53,000"
"26-Dec-2023","28-Dec-2023","CE","2,500.00","74.00","91.10","64.85","79.05","80.50","79.05","5,99,000","1,54,55,72,925.00","4,80,72,925.00","10,59,750","-3,35,750"
"22-Dec-2023","28-Dec-2023","CE","2,500.00","70.00","90.80","60.00","68.05","65.45","68.05","10,31,500","2,65,41,32,912.50","7,53,82,912.50","13,95,500","-1,81,000"
"21-Dec-2023","28-Dec-2023","CE","2,500.00","42.05","79.60","38.10","69.65","70.00","69.65","21,17,500","5,42,97,28,687.50","13,59,78,687.50","15,76,500","-1,26,000"
"20-Dec-2023","28-Dec-2023","CE","2,500.00","81.05","107.90","43.00","46.40","44.80","46.40","31,02,000","7,98,02,96,475.00","22,52,96,475.00","17,02,500","-1,85,000"
"19-Dec-2023","28-Dec-2023","CE","2,500.00","50.55","86.75","46.00","70.40","70.10","70.40","62,30,750","15,98,51,07,275.00","40,82,32,275.00","18,87,500","-7,73,000"
"18-Dec-2023","28-Dec-2023","CE","2,500.00","33.45","56.80","32.00","45.00","44.00","45.00","1,41,04,000","35,91,64,99,125.00","65,64,99,125.00","26,60,500","-18,27,250"
"15-Dec-2023","28-Dec-2023","CE","2,500.00","25.95","37.00","24.80","34.20","33.45","34.20","1,50,01,500","37,97,33,47,725.00","46,95,97,725.00","44,87,750","-3,90,750"
"14-Dec-2023","28-Dec-2023","CE","2,500.00","21.40","26.75","18.30","23.90","24.25","23.90","1,00,89,000","25,46,02,23,112.50","23,77,23,112.50","48,78,500","-2,91,000"
"13-Dec-2023","28-Dec-2023","CE","2,500.00","15.25","17.95","12.60","16.85","17.10","16.85","45,92,750","11,55,20,57,325.00","7,01,82,325.00","51,69,500","2,54,500"
"12-Dec-2023","28-Dec-2023","CE","2,500.00","26.00","28.50","15.10","16.25","15.90","16.25","57,02,250","14,37,83,90,237.50","12,27,65,237.50","49,15,000","2,59,750"
"11-Dec-2023","28-Dec-2023","CE","2,500.00","27.15","29.15","24.20","25.25","25.00","25.25","44,33,000","11,19,93,78,875.00","11,68,78,875.00","46,55,250","-1,42,000"
"08-Dec-2023","28-Dec-2023","CE","2,500.00","29.95","38.30","21.25","26.20","26.00","26.20","91,14,500","23,04,73,12,562.50","26,10,62,562.50","47,97,250","2,61,250"
"07-Dec-2023","28-Dec-2023","CE","2,500.00","30.65","31.35","23.45","28.95","28.85","28.95","51,37,750","12,98,52,65,337.50","14,08,90,337.50","45,36,000","5,67,000"
"06-Dec-2023","28-Dec-2023","CE","2,500.00","21.60","41.40","21.55","30.45","31.05","30.45","1,43,09,500","36,23,52,13,462.50","46,14,63,462.50","39,69,000","6,01,000"
"05-Dec-2023","28-Dec-2023","CE","2,500.00","15.90","23.55","15.90","20.40","20.30","20.40","79,02,750","19,91,37,71,400.00","15,68,96,400.00","33,68,000","2,27,000"
"04-Dec-2023","28-Dec-2023","CE","2,500.00","20.00","24.05","13.30","16.15","15.95","16.15","62,25,000","15,66,19,48,875.00","9,94,48,875.00","31,41,000","-97,750"
"01-Dec-2023","28-Dec-2023","CE","2,500.00","12.90","14.75","12.40","13.35","13.30","13.35","36,23,000","9,10,62,30,487.50","4,87,30,487.50","32,38,750","3,20,750"
"30-Nov-2023","28-Dec-2023","CE","2,500.00","17.00","17.00","12.00","12.75","12.85","12.75","30,78,250","7,73,75,05,275.00","4,18,80,275.00","29,18,000","6,17,750"
"29-Nov-2023","28-Dec-2023","CE","2,500.00","16.05","19.00","16.00","16.55","16.75","16.55","21,04,250","5,29,65,91,900.00","3,59,66,900.00","23,00,250","5,14,000"
"28-Nov-2023","28-Dec-2023","CE","2,500.00","14.35","15.40","10.85","14.90","15.05","14.90","11,53,500","2,89,84,94,575.00","1,47,44,575.00","17,86,250","2,44,000"
"24-Nov-2023","28-Dec-2023","CE","2,500.00","15.45","17.40","14.35","14.60","15.25","14.60","8,03,500","2,02,14,36,525.00","1,26,86,525.00","15,42,250","2,36,750"
"23-Nov-2023","28-Dec-2023","CE","2,500.00","15.60","16.75","14.35","15.95","15.90","15.95","10,33,000","2,59,85,57,212.50","1,60,57,212.50","13,05,500","2,90,250"
"22-Nov-2023","28-Dec-2023","CE","2,500.00","13.15","16.00","12.05","15.55","15.55","15.55","10,06,250","2,53,05,22,500.00","1,48,97,500.00","10,15,250","1,73,000"
"21-Nov-2023","28-Dec-2023","CE","2,500.00","11.40","15.25","11.40","13.15","12.80","13.15","6,91,000","1,73,70,14,075.00","95,14,075.00","8,42,250","1,47,250"
"20-Nov-2023","28-Dec-2023","CE","2,500.00","13.50","13.55","10.00","10.70","10.85","10.70","3,11,750","78,28,87,300.00","35,12,300.00","6,95,000","78,000"
"17-Nov-2023","28-Dec-2023","CE","2,500.00","13.25","15.60","12.50","13.20","13.10","13.20","3,45,500","86,86,81,825.00","49,31,825.00","6,17,000","69,750"
"16-Nov-2023","28-Dec-2023","CE","2,500.00","12.35","14.90","11.00","13.15","13.20","13.15","4,28,000","1,07,58,59,800.00","58,59,800.00","5,47,250","1,43,250"
"15-Nov-2023","28-Dec-2023","CE","2,500.00","11.05","13.55","10.50","12.90","13.00","12.90","2,48,500","62,42,35,150.00","29,85,150.00","4,04,000","84,500"
"13-Nov-2023","28-Dec-2023","CE","2,500.00","11.00","11.15","9.45","9.80","9.90","9.80","51,000","12,80,26,225.00","5,26,225.00","3,19,500","19,250"
"12-Nov-2023","28-Dec-2023","CE","2,500.00","11.15","11.75","10.00","11.00","11.75","11.00","26,250","6,59,08,600.00","2,83,600.00","3,00,250","7,500"
"10-Nov-2023","28-Dec-2023","CE","2,500.00","10.30","11.40","9.55","10.90","10.80","10.90","80,250","20,14,69,062.50","8,44,062.50","2,92,750","26,000"
"09-Nov-2023","28-Dec-2023","CE","2,500.00","12.20","12.35","11.00","11.15","11.45","11.15","61,250","15,38,29,250.00","7,04,250.00","2,66,750","22,000"
"08-Nov-2023","28-Dec-2023","CE","2,500.00","12.60","14.20","11.45","12.30","12.40","12.30","50,750","12,75,25,687.50","6,50,687.50","2,44,750","8,250"
"07-Nov-2023","28-Dec-2023","CE","2,500.00","13.60","13.60","11.70","12.05","12.10","12.05","34,500","8,66,73,600.00","4,23,600.00","2,36,500","-4,250"
"06-Nov-2023","28-Dec-2023","CE","2,500.00","11.55","15.05","8.30","13.60","13.90","13.60","1,14,750","28,83,48,950.00","14,73,950.00","2,40,750","21,500"
"03-Nov-2023","28-Dec-2023","CE","2,500.00","12.95","13.60","11.05","11.45","11.25","11.45","88,750","22,29,76,500.00","11,01,500.00","2,19,250","40,750"
"02-Nov-2023","28-Dec-2023","CE","2,500.00","10.95","13.50","10.95","12.35","12.30","12.35","58,750","14,75,80,450.00","7,05,450.00","1,78,500","10,750"
"01-Nov-2023","28-Dec-2023","CE","2,500.00","10.70","14.20","10.60","10.95","11.20","10.95","86,000","21,60,38,200.00","10,38,200.00","1,67,750","25,000"
"31-Oct-2023","28-Dec-2023","CE","2,500.00","15.45","16.05","11.60","12.00","12.05","12.00","79,750","20,04,57,512.50","10,82,512.50","1,42,750","16,500"
"30-Oct-2023","28-Dec-2023","CE","2,500.00","15.00","20.00","13.85","14.85","14.65","14.85","1,31,500","33,08,57,937.50","21,07,937.50","1,26,250","46,750"
"27-Oct-2023","28-Dec-2023","CE","2,500.00","14.30","15.70","13.30","13.90","13.30","13.90","69,250","17,41,32,625.00","10,07,625.00","79,500","18,250"
"26-Oct-2023","28-Dec-2023","CE","2,500.00","16.95","17.50","13.00","13.85","13.35","13.85","31,000","7,79,49,325.00","4,49,325.00","61,250","9,500"
"25-Oct-2023","28-Dec-2023","CE","2,500.00","18.40","20.00","16.05","17.80","17.50","17.80","35,750","9,00,35,112.50","6,60,112.50","51,750","3,250"
"23-Oct-2023","28-Dec-2023","CE","2,500.00","24.95","26.00","18.00","18.40","18.00","18.40","30,250","7,62,38,400.00","6,13,400.00","48,500","6,500"
"20-Oct-2023","28-Dec-2023","CE","2,500.00","30.00","30.00","24.00","24.55","24.00","24.55","11,250","2,84,26,225.00","3,01,225.00","42,000","3,750"
"19-Oct-2023","28-Dec-2023","CE","2,500.00","31.10","34.50","27.75","28.35","27.75","28.35","13,250","3,35,26,625.00","4,01,625.00","38,250","3,500"
"18-Oct-2023","28-Dec-2023","CE","2,500.00","39.20","44.00","33.00","33.90","33.00","33.90","12,250","3,10,85,625.00","4,60,625.00","34,750","3,250"
"17-Oct-2023","28-Dec-2023","CE","2,500.00","40.60","40.60","37.00","39.40","40.55","39.40","5,750","1,45,99,237.50","2,24,237.50","31,500","2,000"
"16-Oct-2023","28-Dec-2023","CE","2,500.00","39.50","42.00","38.00","38.00","38.00","38.00","5,750","1,46,07,975.00","2,32,975.00","29,500","1,500"
"13-Oct-2023","28-Dec-2023","CE","2,500.00","40.40","41.85","38.50","39.45","39.00","39.45","16,750","4,25,33,437.50","6,58,437.50","28,000","-10,250"
"12-Oct-2023","28-Dec-2023","CE","2,500.00","41.00","43.00","39.00","42.00","42.00","35.95","9,000","2,28,74,837.50","3,74,837.50","38,250","4,750"
"11-Oct-2023","28-Dec-2023","CE","2,500.00","33.05","43.90","33.05","41.85","43.90","41.85","10,500","2,66,58,825.00","4,08,825.00","33,500","4,500"
"10-Oct-2023","28-Dec-2023","CE","2,500.00","34.15","36.90","32.55","35.00","35.00","26.10","5,000","1,26,73,337.50","1,73,337.50","29,000","3,000"
"09-Oct-2023","28-Dec-2023","CE","2,500.00","38.15","38.15","33.00","33.60","33.90","33.60","7,000","1,77,42,612.50","2,42,612.50","26,000","2,500"
"06-Oct-2023","28-Dec-2023","CE","2,500.00","38.50","38.70","35.00","38.15","38.70","38.15","8,250","2,09,30,900.00","3,05,900.00","23,500","4,750"
"05-Oct-2023","28-Dec-2023","CE","2,500.00","39.25","39.55","37.00","37.90","38.50","37.90","22,000","5,58,32,150.00","8,32,150.00","18,750","14,750"
"04-Oct-2023","28-Dec-2023","CE","2,500.00","32.50","41.00","32.50","40.10","40.00","40.10","6,750","1,71,30,300.00","2,55,300.00","4,000","4,000"
"03-Oct-2023","28-Dec-2023","CE","2,500.00","-","-","-","73.85","-","32.70","-","-","-","-","-"
"29-Sep-2023","28-Dec-2023","CE","2,500.00","-","-","-","73.85","-","77.00","-","-","-","-","-"
