"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"28-Dec-2023","28-Dec-2023","PE","2,600.00","16.05","17.80","0.05","1.75","0.05","2,605.55","13,38,250","3,49,13,72,375.00","1,19,22,375.00","2,04,000","-92,250"
"27-Dec-2023","28-Dec-2023","PE","2,600.00","35.80","45.50","13.55","19.45","20.75","19.45","21,93,750","5,75,02,78,100.00","4,65,28,100.00","2,96,250","-40,750"
"26-Dec-2023","28-Dec-2023","PE","2,600.00","37.95","45.25","25.90","30.95","29.95","30.95","11,68,250","3,07,65,26,087.50","3,90,76,087.50","3,37,000","-39,250"
"22-Dec-2023","28-Dec-2023","PE","2,600.00","47.00","56.95","30.80","43.05","44.10","43.05","8,65,500","2,28,73,18,587.50","3,70,18,587.50","3,76,250","7,250"
"21-Dec-2023","28-Dec-2023","PE","2,600.00","81.85","86.50","44.15","49.05","48.25","49.05","11,59,000","3,08,03,00,262.50","6,69,00,262.50","3,69,000","-29,500"
"20-Dec-2023","28-Dec-2023","PE","2,600.00","49.15","84.60","32.20","77.45","79.80","77.45","38,04,000","10,06,29,28,425.00","17,25,28,425.00","3,98,500","91,000"
"19-Dec-2023","28-Dec-2023","PE","2,600.00","75.00","82.00","50.30","57.80","58.55","57.80","13,20,000","3,51,13,19,012.50","7,93,19,012.50","3,07,500","49,750"
"18-Dec-2023","28-Dec-2023","PE","2,600.00","107.00","107.00","76.00","86.80","88.55","86.80","4,62,750","1,24,19,69,175.00","3,88,19,175.00","2,57,750","-16,750"
"15-Dec-2023","28-Dec-2023","PE","2,600.00","121.10","121.10","101.10","103.20","104.70","103.20","86,250","23,37,09,725.00","94,59,725.00","2,74,500","-21,750"
"14-Dec-2023","28-Dec-2023","PE","2,600.00","146.90","146.90","121.90","127.65","125.00","127.65","84,250","22,98,30,712.50","1,07,80,712.50","2,96,250","-26,250"
"13-Dec-2023","28-Dec-2023","PE","2,600.00","170.45","175.10","157.60","158.85","158.00","158.85","8,250","2,28,29,762.50","13,79,762.50","3,22,500","-2,250"
"12-Dec-2023","28-Dec-2023","PE","2,600.00","136.15","167.00","135.00","163.75","164.10","163.75","40,750","11,18,28,012.50","58,78,012.50","3,24,750","13,750"
"11-Dec-2023","28-Dec-2023","PE","2,600.00","136.05","142.35","134.40","140.00","139.95","140.00","87,750","24,03,00,287.50","1,21,50,287.50","3,11,000","-2,000"
